College,HiSchool
2.799999952,5.900000095
2.200000048,4.900000095
2.200000048,4.800000191
1.700000048,5.400000095
2.299999952,6.300000191
2.299999952,6.900000095
2.400000095,6.900000095
2.700000048,7.199999809
3.5,10
3,8.5
1.899999976,5.099999905
2.5,6.900000095
